SITE,DATE,time line,pH,Temp,normality,sampleVolume,dissolvedOxygen,dissolvedOxygenSaturation,specificConductance,waterTemp
CUPE,2016-10-17,October_2016,8.28,22.9,0.16,50,8.04,96.3,274.8,23.2
CUPE,2016-10-17,October_2016,8.27,23.6,0.16,50,,,,
CUPE,2016-10-25,October_2016,8.03,21.9,0.16,50,8.36,99.5,233.2,22.9
CUPE,2016-10-25,October_2016,7.87,22,0.16,50,,,,
CUPE,2016-10-31,October_2016,8.27,22,0.16,50,8.35,99.4,259.8,23
CUPE,2016-10-31,October_2016,8.24,22.1,0.16,50,,,,
CUPE,2016-11-07,November_2016,0.16,22,0.16,50,8.26,98.5,306,23.2
CUPE,2016-11-07,November_2016,8.38,21.9,0.16,50,,,,
CUPE,2016-11-21,November_2016,8.15,22.8,0.16,50,8.53,98.4,253.1,22.1
CUPE,2016-11-21,November_2016,8.26,22.4,0.16,50,,,,
CUPE,2016-12-06,December_2016,8.35,19.4,0.16,50,7.69,90.1,273.4,22.5
CUPE,2016-12-06,December_2016,8.27,22.1,0.16,50,,,,
CUPE,2016-12-06,December_2016,8.33,20.9,0.16,50,,,,
CUPE,2016-12-20,December_2016,7.95,21.2,0.16,50,8.58,100.4,314.1,22.6
CUPE,2016-12-20,December_2016,7.98,20.8,0.16,50,,,,
CUPE,2016-12-20,December_2016,8.27,19.3,0.16,50,,,,
CUPE,2017-01-17,January_2017,8.3,21.6,0.16,50,8.15,92.3,300.5,20.9
CUPE,2017-01-17,January_2017,8.58,20.2,0.16,50,,,,
CUPE,2017-01-17,January_2017,8.32,21.1,0.16,50,,,,
CUPE,2017-02-21,Feburary_2017,8.27,22.3,0.16,50,7.86,90.4,312,21.3
CUPE,2017-02-21,Feburary_2017,8.35,20.4,0.16,50,,,,
CUPE,2017-03-01,March_2017,8.17,19.8,0.16,50,7.88,7.88,295.8,21.2
CUPE,2017-03-01,March_2017,8.03,20.3,0.16,50,,,,
CUPE,2017-03-01,March_2017,8.16,18.5,0.16,50,,,,
CUPE,2017-03-21,March_2017,8.07,23.3,0.16,50,8.89,101.9,278.9,21.3
CUPE,2017-03-21,March_2017,8.21,20.8,0.16,50,,,,
CUPE,2017-04-18,April_2017,8.21,22.1,0.16,50,8.42,98,240.7,22.1
CUPE,2017-04-18,April_2017,8.18,23,0.16,50,,,,
CUPE,2017-04-27,April_2017,7.84,22.4,0.16,50,7.79,91.7,289.2,22.5
CUPE,2017-04-27,April_2017,7.93,21.3,0.16,50,,,,
CUPE,2017-05-16,May_2017,8.39,21.8,0.16,50,8.45,101.1,287.1,23.5
CUPE,2017-05-16,May_2017,8.42,21.7,0.16,50,,,,
CUPE,2017-05-23,May_2017,7.72,20.6,0.16,50,8.6,101.7,295.4,23
CUPE,2017-05-23,May_2017,7.93,20.6,0.16,50,,,,
CUPE,2017-06-13,June_2017,8.32,21,0.16,50,8.41,99.8,311.2,22.9
CUPE,2017-06-13,June_2017,8.36,17.3,0.16,50,,,,
CUPE,2017-06-22,June_2017,8.19,21.5,0.16,50,9.18,108.4,302.5,22.9
CUPE,2017-06-22,June_2017,8.29,18.1,0.16,50,,,,
CUPE,2017-07-11,July_2017,8.02,16.6,0.16,50,7.78,93.6,294.4,23.8
CUPE,2017-07-11,July_2017,8.19,16.6,0.16,50,,,,
CUPE,2017-07-20,July_2017,8.21,21.6,0.16,50,7.7,90.7,296.2,24.2
CUPE,2017-07-20,July_2017,8.07,19.1,0.16,50,,,,
CUPE,2017-08-10,August_2017,8.35,21.9,0.16,50,7.34,88.6,287.3,24.1
CUPE,2017-08-10,August_2017,8.34,21.7,0.16,50,,,,
CUPE,2017-08-15,August_2017,7.89,18.8,0.16,50,6.9,82.5,286.5,24.2
CUPE,2017-08-15,August_2017,8.04,21.8,0.16,50,,,,
CUPE,2017-08-28,August_2017,8.31,17.1,0.16,50,8.76,103.5,250.5,22.9
CUPE,2017-08-28,August_2017,8.21,17.5,0.16,50,,,,
CUPE,2017-09-12,September_2017,8.22,18.5,0.16,50,8.77,104.9,235,23.5
CUPE,2017-09-12,September_2017,8.24,17.3,0.16,50,,,,
CUPE,2017-11-07,November_2017,8.28,15.7,0.16,50,7.88,93.9,326.9,23.4
CUPE,2017-11-07,November_2017,8.27,15.8,0.16,50,,,,
CUPE,2017-11-14,November_2017,8.4,19,0.16,50,7.82,91.7,323.5,23
CUPE,2017-11-14,November_2017,8.36,16.5,0.16,50,,,,
CUPE,2017-11-29,November_2017,8.18,17.5,0.16,50,8.04,94.1,335.6,22.4
CUPE,2017-11-29,November_2017,8.14,20.1,0.16,50,,,,
CUPE,2017-11-29,November_2017,8.14,20.1,0.16,50,,,,
CUPE,2017-12-19,December_2017,8.22,20.7,0.16,50,7.98,92.2,333.7,22.2
CUPE,2017-12-19,December_2017,8.16,19.8,0.16,50,,,,
CUPE,2018-01-16,January_2018,8.16,21,0.16,50,7.8,90.1,298.3,21.8
CUPE,2018-01-16,January_2018,8,22.4,0.16,50,,,,
CUPE,2018-02-20,Feburary_2018,8.17,21.1,0.16,50,8.17,93.6,323.7,21.5
CUPE,2018-02-20,Feburary_2018,8.18,20.1,0.16,50,,,,
CUPE,2018-02-28,Feburary_2018,7.37,18.8,0.16,50,8.11,91.8,246.8,20.7
CUPE,2018-02-28,Feburary_2018,7.5,20.3,0.16,50,,,,
CUPE,2018-03-20,March_2018,8.1,19.7,0.16,50,7.71,89.2,309.1,21.8
